"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации с невалидными данными","565","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Тестовые данные для проверки негативных сценариев оформления заказа","843","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Checkout' на странице 'Корзина'","654","Нажать кнопку 'Checkout' на странице 'Корзина'","Surefire suite","2026-08-21","passed","2026-08-21","tests.CartTest","Surefire test","tests.CartTest","btnCancelCheckout"
"Проверка выхода из аккаунта через бургер меню","1669","logout","Surefire suite","2026-08-21","passed","2026-08-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","logout"
"Проверка авторизации с невалидными данными","466","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить соответствие имени и цены добавленного товара","685","checkAddBucketItem","Surefire suite","2026-08-21","passed","2026-08-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketItem"
"Тестовые данные для проверки негативных сценариев оформления заказа","867","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка кнопки 'Continue Shopping' на странице 'Корзина'","601","Нажать кнопку 'Continue Shopping' на странице 'Корзина'","Surefire suite","2026-08-21","passed","2026-08-21","tests.CartTest","Surefire test","tests.CartTest","btnCntnShp"
"Авторизация с валидными данными","1285","Авторизуемся с валидными данными под обычного пользователя","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"Проверить соответствие имени и цены добавленных товаров","691","checkAddBucketSomeItems","Surefire suite","2026-08-21","passed","2026-08-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkAddBucketSomeItems"
"Сделать заказ с валидными данными","849","Сделать заказ с полностью заполненными валидными данными","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","placeOrder"
"Тестовые данные для проверки негативных сценариев оформления заказа","904","Проверяем оформление заказа с пустыми полями: имя, фамилия, почтовый индекс","Surefire suite","2026-08-21","passed","2026-08-21","tests.CheckoutTest","Surefire test","tests.CheckoutTest","negativeOrder"
"Проверка авторизации с невалидными данными","446","Проверяем авторизацию с пустыми полями и невалидными данными","Surefire suite","2026-08-21","passed","2026-08-21","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"Проверить нажатие кнопки Remove","633","checkRemoveItem","Surefire suite","2026-08-21","passed","2026-08-21","tests.SauceDemoTest","Surefire test","tests.SauceDemoTest","checkRemoveItem"
